,title,img_link,alcohol,size,wine_type,sparkling,sweetness,grape_type,country,aroma,flavor,winery,color,food_pairing,charms,link
116,Banfi Belnero IGT ,http://www.wine.co.kr/upload/products/wineList/italy/BanfiBelneroIGT.png,13.5%,750ml,Red,Still,Dry,기타,"이태리, 토스카나(Toscana), 몬탈치노","바닐라, 타바코, 커피, 체리 잼, 자두",균형잡힌 탄닌과 부드러우면서도 강건한 구조감의 와인입니다.,반피,옅은 자줏빛 레드,"스프, 구운 육류, 적당히 숙성된 치즈",Belnero는 몬탈치노의 대표와이너리인 반피를 잘 표현해 주고 있는 와인입니다. 또한 지속적으로 최고를 추구해온 반피의 품질에 대한 30년간의 노력과 열정을 잘 알 수 있는 와인이기도 합니다.. ’,http://www.wine.co.kr/wine/297
117,Banfi Brunello di Montalcino DOCG ,http://www.wine.co.kr/upload/products/wineList/italy/BanfiBrunellodiMontalcinoDOCG.png,13.5%,750ml,Red,Still,Dry,기타,"이태리, 토스카나(Toscana), 몬탈치노",옅은 바닐라와 체리 등의 베리향,"부드러운 질감과 감초, 스파이시한 맛이 잘 어우러진 풀바디한 와인으로 부르넬로의 리더인 반피가 생산한 명실공히 반피를 대표하는 와인입니다.",반피,석류빛을 띠는 강렬한 루비 칼라,"붉은 육류요리, 잘 숙성된 치즈와 함께 잘 어울립니다.","93점, Wine Spectator, 2009 (01,04Vintage)",http://www.wine.co.kr/wine/299
118,Banfi Centine IGT ,http://www.wine.co.kr/upload/products/wineList/italy/BanfiCentineIGT.png,13.0%,750ml,Red,Still,Dry,"카버네 소비뇽, 멜롯, 기타","이태리, 토스카나(Toscana)",포도주 특유의 향과 스파이시한 부케,"산지오베제 품종에서 우러나는 투스칸의 고유의 특징이 카버네, 멜롯 품종과 함께 완벽하게 조화를 이룹니다. 부드럽고 순한 질감이 입안에 닿는 감촉이 인상적이어 초보자들에게도 사랑받는 와인입니다..",반피,강렬한 루비칼라,"콩 스프, 구운 육류, 적당히 숙성된 치즈와 조화",중앙일보 <제 9회 와인 컨슈머 리포트> ‘이탈리아 토스카나산 레드와인 1위 선정’,http://www.wine.co.kr/wine/283
119,Banfi Summus DOC ,http://www.wine.co.kr/upload/products/wineList/italy/BanfiSummusDOC.png,13.5%,750ml,Red,Still,Dry,"카버네 소비뇽, 쉬라즈, 기타","이태리, 토스카나(Toscana), 몬탈치노",까버네 소비뇽과 시라 품종의 각 캐릭터가 잘 표현,"풀바디하고 파워풀하면서도 균형이 잘 어울어진 여운이 뛰어난 와인입니다. 숙성잠재력이 뛰어난 와인으로 특별히 선별된 산지오베제, 까버네 소비뇽, 시라의 최상의 블랜딩 비율을 경험하실 수 있습니다.",반피,깊고 짙은 루비 칼라,메인요리로서의 어떤 육류와도 잘 조화되며 치즈와도 우아한 조화를 이룹니다.,"최고의 빈티지에서만 생산되는 반피의 슈퍼 투스칸 와인 (91점, Wine Spectator, 2004/2006빈티지)",http://www.wine.co.kr/wine/293
120,Banfi Excelsus DOC ,http://www.wine.co.kr/upload/products/wineList/italy/BanfiExcelsusDOC.png,13.5%,750ml,Red,Still,Dry,"카버네 소비뇽, 멜롯","이태리, 토스카나(Toscana)",까버네소비뇽과 멜롯이 각각의 장점을 이끌어내 조화가 잘 이뤄진 풍부한 부케,정교한 우드향이 풀바디 하면서도 부드럽게 어우러진 우아한 와인으로 장기 숙성에도 적합한 와인입니다. 12개월 품종별로 개별 숙성을 거친 후 8개월동안 두 품종이 블랜딩 되어 숙성된 와인입니다. 몬탈치노의 남쪽 언덕의 해발 220m지역에서 생산된 포도로 양조되었으며 최초의 빈티지는 1993년입니다.,반피,석류빛이 감도는 짙은 루비,"붉은 육류, 숙성된 치즈","최고의 빈티지에만 생산되는 반피의 슈퍼 투스칸 와인 (92점, Wine Enthusiast, 2007/2)",http://www.wine.co.kr/wine/292
121,Banfi Col di Sasso IGT ,http://www.wine.co.kr/upload/products/wineList/italy/BanfiColdiSassoIGT.png,12.5%,750ml,Red,Still,Dry,"카버네 소비뇽, 기타","이태리, 토스카나(Toscana)",신선하고 풍부하면서 스파이시한 향,탄닌의 구조감과 아로마틱한 신선함이 특징인 부드러우면서도 밸런스가 잘 되어 있어 쉽게 마실 수 있는 매력적인 와인입니다.,반피,생동감있는 밝은 루비칼라,"흰살육류, 파스타, 피자 외",중앙일보 <제 9회 와인 컨슈머 리포트> ‘이탈리아 토스카나산 레드와인 8위 선정’,http://www.wine.co.kr/wine/286
122,Banfi Cum Laude ,http://www.wine.co.kr/upload/products/wineList/italy/BanfiCumLaude.png,14.5%,750ml,Red,Still,Dry,"카버네 소비뇽, 멜롯, 쉬라즈, 기타","이태리, 토스카나(Toscana), 몬탈치노","블랙베리 , 자두 잼, 체리, 블랙 올리브, 타바코",우수한 빈야드에서 잘 익은 포도들만 선별에 양조해 부드러운 탄닌의 질감과 파워풀한 바디감이 두드러지는 와인입니다.,반피,짙은 루비색상,"콩 스프, 구운 육류, 적당히 숙성된 치즈와 조화",합리적인 가격의 슈퍼 투스칸 와인으로 파워풀함이 우등 하다는 제품명대로 뛰어난 와인입니다.,http://www.wine.co.kr/wine/298
123,Banfi Tiara VdT ,http://www.wine.co.kr/upload/products/wineList/italy/20170207100656260.png,7.0%,750ml,White,Sparkling,Sweet,"모스카토, 기타","이태리, 피에몬테","파인애플, 사과 등 다양한 과일의 아로마와 싱그러운 야생화 향이 조화","꾸준히 올라오는 기포가 입맛을 개운하게 해주며, 깔끔하게 달콤한 모스카토 품종 특유의 맛과 향이 음용의 즐거움을 더해주는 와인입니다.",반피,밝은 밀짚색,"간단한 쿠키, 디저트, 패스트리 외",세계적인 이태리 생산자 반피가 한국시장의 모스카토 매니아를 위해 특별히 생산하고 있는 합리적 가격과 매력적인 달콤함의 모스카토 와인,http://www.wine.co.kr/wine/280
124,Poggio Alle Mura Brunello di Montalcino DOCG ,http://www.wine.co.kr/upload/products/wineList/italy/PoggioAlleMuraBrunellodiMontalcinoDOCG.png,13.5%,750ml,Red,Still,Dry,기타,"이태리, 토스카나(Toscana), 몬탈치노","쵸콜렛, 블랙베리, 라즈베리, 시가박스, 바닐라, 자두의 신선하고 스위트한 부케","부드러운 탄닌과 달콤함, 부드러운 질감과 묵직한 무게감이 조화를 잘 이루어 매우 휼륭한 맛을 냅니다. 2년 동안 와인의 90%는 프렌치 오크통에서 숙성되며 나머지 10%는 슬라보니안 오크통에서 숙성이 이루어 집니다. 출시 전에 추가적으로 12개월 병입숙성을 거치는 싱글빈야드 부르넬로 디 몬탈치노 와인입니다.",반피,옅은 자줏빛을 띠는 깊은 레드칼라,"붉은육류, 숙성된 치즈 외","94점, Wine Spectator, 2009(04 vintage)/ 2009 Korea Wine Challenge, Gold Medal 수상(04 Vintage)",http://www.wine.co.kr/wine/295
125,Balduzzi Late Harvest ,http://www.wine.co.kr/upload/products/wineList/chile/BalduzziLateHarvest.png,12.3%,750ml,White,Still,Sweet,샤도네이,"칠레, 마울레밸리(Maule valley)","그윽한 벌꿀과 복숭아, 열대 과일의 향",프랑스산 오크통에서 얻어진 부드러운 산미와 감미를 느낄 수 있습니다.,Balduzzi,짙은 황금색,"초콜릿, 각종 디저트",각종 디저트와 완벽한 조화를 이루며 그 자체로도 훌륭한 디저트 와인입니다.,http://www.wine.co.kr/wine/123
126,Babich Forbidden Vine Sauvignon Blanc ,http://www.wine.co.kr/upload/products/wineList/newzealand/20180410031443169.png,12.0%,750ml,White,Still,Medium Dry,쇼비뇽 블랑,뉴질랜드 말보로,"신선한 파인애플, 레몬, 야생 허브양","처음엔 풍부한 구즈 베린, 라임, 허브가 느껴지며 깔끔한 레몬 플레이버와 함께 마무리 됩니다.",Babich,창백한 레몬칼라,"회, 조개류와 같은 신선한 해산물은 물론 매콤한 한국 음식과도 잘 어울립니다.",,http://www.wine.co.kr/wine/707
127,Babich Malborough Sauvignon Blanc ,http://www.wine.co.kr/upload/products/wineList/newzealand/BabichMalboroughSauvignonBlanc.png,13.5%,750ml,White,Still,Dry,쇼비뇽 블랑,"뉴질랜드, 말보로(Marlbourough)","신선한 파인애플, 풋사과, 야생 허브향",라임과 같은 과일 풍미와 허브 맛을 느낄 수 있고 미네랄향이 돋보입니다.,Babich,창백한 레몬 칼라,"흰 살 육류(닭고기, 오리고기 등 가금류)나 각종 해산물 요리, 샐러드",와인스펙테이터(Wine Spectator) 100대 와인,http://www.wine.co.kr/wine/10
128,Babich Malborough Pinot Noir ,http://www.wine.co.kr/upload/products/wineList/newzealand/BabichMalboroughPinotNoir.png,13.5%,750ml,Red,Still,Dry,피노누아,"뉴질랜드, 말보로(Marlbourough)","라스베리, 자두, 체리향이 강하게 느껴지는 가운데 약간의 삼나무향과 바닐라, 스파이시한 향이 살짝 배어있습니다.",미디엄 바디에 부드러운 질감을 지니고 있으며 강하고 긴 끝맛을 느끼게 한다.,Babich,짙은 다크 레드,"쇠고기 안심 요리나 닭고기, 생선 구이, 부드러운 치즈",와인스펙테이터(Wine Spectator) 100대 와인,http://www.wine.co.kr/wine/11
129,Babich Black Malborough Sauvignon Blanc ,http://www.wine.co.kr/upload/products/wineList/newzealand/20180410032428917.png,13.5%,750ml,White,Still,Dry,쇼비뇽 블랑,"뉴질랜드, 말보로(Marlbourough)","파릇파릇한 풀향과 멜론, 구스베리, 라임, 구운 파인애플 아로마가 풍부합니다.","드라이하며 상쾌하면서 씁쓸한 맛을 느낄수 있으며 라임, 파인애플과 같은 과실 풍미를 느낄 수 있습니다",Babich,창백한 밀짚 칼라,"부드러운 송아지고기나 닭고기, 해산물 요리, 파스타, 고트 치즈",와인스펙테이터(Wine Spectator) 100대 와인,http://www.wine.co.kr/wine/9
130,Babich Black Marlborough Pinot noir ,http://www.wine.co.kr/upload/products/wineList/newzealand/20180410031842980.png,13.5%,750ml,Red,Still,Dry,피노누아,뉴질랜드 말보로,"체리, 바닐라",,Babich,짙은 루비색,,2017년 와인 스펙테이터 90점 2017년 샌프란시스토 와인 대회 금상 2017년 서울 국제 와인 대회 금상,http://www.wine.co.kr/wine/708
131,Bernkasteler Kurfurstlay QMP ,http://www.wine.co.kr/upload/products/wineList/germany/BernkastelerKurfurstlayQMP.png,9.0%,750ml,White,Still,Sweet,기타,"독일, 모젤",복숭아와 살구의 아로마,신선하고 우아한 밸런스 있는 과일향이 잘 어우러진 와인입니다.,모젤란드,밝은 밀짚색,"샐러드, 치킨요리와 잘 조화",모젤의 심장부인 베른카스텔 마을의 빈야드에서 생산된 세계적으로 인기있기 리슬링와인,http://www.wine.co.kr/wine/15
132,Beringer Knights Valley Cab Sau ,http://www.wine.co.kr/upload/products/wineList/america/BeringerKnightsValleyCabSau.png,14.3%,750ml,Red,Still,Dry,"카버네 소비뇽, 멜롯, 기타","미국, 나이츠밸리","블루 베리, 숙성된 자두, 감초, 약간의 흑연향","나이츠 밸리의 다양하고 풍부한 캐릭터를 유지하기 위해 수석 와인메이커인 Laurie Hook(로리 훅)은 모든 포도를 구분하여 재배하고 숙성시킴으로 블렌딩 후 입안을 가득 채우는 탄닌을 극대화시키고 가장 최상의 칼라와 아로마, 그리고 맛을 만들어내기 위해 정성을 다하고 있다. 블루베리, 자두와 같은 과일 아로마와 함께 시간이 지날 수록 농익은 보이젠 베리향과 감초, 흑연의 향이 나며, 부드럽지만 강렬한 탄닌으로 인해 오래도록 지속되는 피니쉬와 함께 마지막까지 완벽한 맛과 향을 느낄 수 있다.",Beringer Vineyards,짙은 루비색,"붉은 육류, 진한 소스의 파스타, 블루 치즈",Wine Spectator 91점 (2009 vintage) / Robert Parker Point 88점 (2009 vintage),http://www.wine.co.kr/wine/524
133,Beringer Napa Valley Merlot ,http://www.wine.co.kr/upload/products/wineList/america/BeringerNapaValleyMerlot.png,14.39%,750ml,Red,Still,Dry,"카버네 소비뇽, 멜롯, 기타","미국, 나파밸리","블랙 체리, 숙성된 자두, 아니스, 코코아, 모카향","베린저 나파 밸리 메를로는 우아한 캐릭터와 품질을 최상으로 유지하기 위해 비교적 서늘한 지역인 나파 밸리 욘트빌(Yountville)에 위치한 갬블 랜치(Gamble Ranch)의 포도를 주로 사용하였다.블랙체리와 숙성된 자두, 달콤한 향신료향인 아니스 아로마를 느낄 수 있으며 코코아와 모카향이 과일향과 어우러져 부드러운 탄닌과 길게 이어지는 피니쉬를 더욱 더 인상깊게 해준다.",Beringer Vineyards,짙은 루비색,"그릴드 치킨, 스테이크, 램, 바베큐",Wine Spectator 90점 (2007 vintage) / Robert Parker Point 88점 (2009 vintage),http://www.wine.co.kr/wine/522
134,Beringer Napa Valley Chardonnay ,http://www.wine.co.kr/upload/products/wineList/america/BeringerNapaValleyChardonnay.png,14.1%,750ml,White,Still,Dry,샤도네이,"미국, 나파밸리","자두, 배, 파인애플향과 상큼한 감귤향",베린저 나파밸리 샤도네는 샤도네 품종의 생생하고 기분좋은 특징을 최대한 표현한 와인으로 오크숙성과 스테인레스 숙성을 동시에 진행하여 적절한 산도와 풍부한 과일향의 아로마를 최대한 표현하였다. 입안에서 부드럽게 느껴지는 발란스가 지켜진 맛이 피니쉬가 끝날 때까지 이어져 깔끔하게 마무리 된다.,Beringer Vineyards,옅은 밀짚색,"샐러드, 과일, 치즈, 파스타, 해산물",Wine Spectator 87점 (2008 vintage) / Robert Parker Point 89점 (2008 vintage),http://www.wine.co.kr/wine/520
135,Beringer Napa Valley Pinot Noir ,http://www.wine.co.kr/upload/products/wineList/america/BeringerNapaValleyPinotNoir.png,14.3%,750ml,Red,Still,Dry,피노누아,"미국, 나파밸리","숙성된 레드 베리, 코코아, 장미향, 체리, 자두, 시나몬의 복합적인 향","베린저 나파밸리 피노누아는 나파밸리 테루아의 특성을 최대한 표현하여 피노누아 품종의 정석을 표현한 와인으로, 와인메이커인 Laurie Hook(로리 훅)은 서늘한 나파밸리 남쪽에 위치한 오크 놀(Oak Knoll) 지역의 빅 랜치 로드(Big Ranch Road) 포도원과 카네로스(Caneros) 지역의 스탠리 랜치 (Stanly Ranch) 포도원에서 수확된 과일를 주로 사용하여 부르고뉴 스타일에 복합미를 더 한 피노누아를 생산하고 있다. 부드러운 탄닌과 기분좋은 산도가 잘 어우러져 풍부한 과일의 향을 복합적으로 표현하고 있으며 완벽한 밸런스를 느낄 수 있는 와인이다.",Beringer Vineyards,투명한 루비색,"그릴드 치킨, 스테이크, 램, 바베큐",와이너리의 역사와 함께 시작된 베린저를 대표하는 프리미엄 와인 / Wine Spectator 89점 (2007 vintage),http://www.wine.co.kr/wine/521
136,Beringer Napa Valley Cab. Sau ,http://www.wine.co.kr/upload/products/wineList/america/BeringerNapaValleyCabSau.png,14.3%,750ml,Red,Still,Dry,"카버네 소비뇽, 멜롯, 기타","미국, 나파밸리","블루 베리, 숙성된 자두, 감초, 블랙 체리와 같은 검은 과일향과 삼나무, 다크 초콜렛향","나파 밸리 까버네 소비뇽은 최고의 프리미엄 와인을 생산하는 나파벨리의 테루아를 풍부하게 표현함과 동시에, 오픈하자마자 음용을 즐길 수 있도록 만들어진 접근성이 높은 와인이다. 나파 밸리 전역에 걸친 베린저 소유의 포도원의 과일로 양조된 와인이며 농익은 과일의 향과 삼나무, 다크 초콜렛의 아로마가 어우러져 입 안에서는 부드럽지만 풍부한 농축된 강렬한 맛을 느낄 수 있으며 풍부한 구조감이 더해 오랫동안 이어지는 피니쉬가 인상적인 와인이다.",Beringer Vineyards,짙은 루비색,"비프 스튜, 스테이크, 램, 바베큐",Wine Spectator 88점 (2008 vintage) / Robert Parker Point 89점 (2009 vintage),http://www.wine.co.kr/wine/523
137,Beringer Stone Cellars Cabernet Sauvignon ,http://www.wine.co.kr/upload/products/wineList/america/BeringerStoneCellarsCabernetSauvignon.png,13.0%,750ml,Red,Still,Dry,"카버네 소비뇽, 기타","미국, 캘리포니아","블랙커런트, 코코아, 바닐라와 약간의 시나몬향",스톤 셀라는 1876년 베린저 와이너리의 창립과 동시에 만들어진 유서깊은 석굴 셀러를 기리기 위해 이름붙여 졌으며 어떤 상황에서도 어울리는 멀티플 와인의 대표주자라고 할 수 있다. 까버네 소비뇽의 풍부한 아로마와 쁘띠 쉬라의 블렌딩이 입안에서 부드러운 맛과 향을 내며 결코 가볍지 않은 피니쉬는 이 와인이 충분히 가치있는 와인이라고 느끼게 해준다.,Beringer Vineyards,진한 루비 칼라,"익힌 붉은 육류, 파스타, 치즈, 매콤한 한국음식",PGA 공식 와인으로 선정된 Beringer 브랜드에서 생산하는 합리적인 가격의 데일리 와인,http://www.wine.co.kr/wine/513
138,Beringer Stone Cellars Merlot ,http://www.wine.co.kr/upload/products/wineList/america/BeringerStoneCellarsMerlot.png,13.5%,750ml,Red,Still,Dry,멜롯,"미국, 캘리포니아","체리, 블렉베리, 자두향, 약간의 민트향","스톤 셀라는 1876년 베린저 와이너리의 창립과 동시에 만들어진 유서깊은 석굴 셀러를 기리기 위해 이름붙여 졌으며 어떤 상황에서도 어울리는 멀티플 와인의 대표주자라고 할 수 있다. 풍부한 과일향이 집중되어 있는 스톤 셀라스 메를로는 완벽하게 발란스가 이루어져 있으며 체리, 자두와 같은 과일향과 약간의 민트향이 매력적이며 식전주, 혹은 양념이 풍부한 파스타와 같은 음식과도 잘 어울리는 와인이다.",Beringer Vineyards,진한 루비 칼라,"익힌 붉은 육류, 파스타, 치즈, 매콤한 한국음식",PGA 공식 와인으로 선정된 Beringer 브랜드에서 생산하는 합리적인 가격의 데일리 와인,http://www.wine.co.kr/wine/514
139,Beringer Stone Cellars Chardonnay ,http://www.wine.co.kr/upload/products/wineList/america/BeringerStoneCellarsChardonnay.png,13.5%,750ml,White,Still,Dry,샤도네이,"미국, 캘리포니아","사과, 감귤, 바닐라향",스톤 셀라는 1876년 베린저 와이너리의 창립과 동시에 만들어진 유서깊은 석굴 셀러를 기리기 위해 이름붙여 졌으며 어떤 상황에서도 어울리는 멀티플 와인의 대표주자라고 할 수 있다. 캘리포니아 샤도네의 특징을 완벽하게 표현하였으며 신선한 사과향 및 감귤향과 프렌치 오크숙성을 통한 바닐라향이 부드럽게 이어지며 깔끔한 피니쉬가 어떤 음식과도 잘 매칭될 수 있도록 도와준다.,Beringer Vineyards,연한 밀짚색,"샐러드, 과일, 치즈, 파스타, 해산물",PGA 공식 와인으로 선정된 Beringer 브랜드에서 생산하는 합리적인 가격의 데일리 와인,http://www.wine.co.kr/wine/512
140,Beringer Sparkling White Zinfandel ,http://www.wine.co.kr/upload/products/wineList/america/BeringerSparklingWhiteZinfandel.png,11.0%,750ml,Rose,Sparkling,Dry,기타,"미국, 캘리포니아","생동감있고 신선한 딸기향, 감귤, 감로향","베린저 화이트 진판델 출시 20주년을 기념하기 위해 화이트 진판델을 즐기는 모든 사람들에게 즐거움을 선사하는 의미로 출시된 제품으로 진판델 품종으로도 훌륭한 스파클링 와인을 만들 수 있다는 것을 증명한 와인이다. 풍부한 꽃향기와 상큼한 과일향, 꾸준하게 이어지는 기분 좋은 기포를 맛볼 수 있으며 어떤 자리에서건 누구와 함께 해도 어울리는 기분 좋은 와인으로 달콤한 피니쉬가 인상적이다.",Beringer Vineyards,옅은 장미색,"샐러드, 과일, 치즈, 파스타, 해산물",PGA 공식 와인으로 선정된 Beringer 브랜드에서 생산하는 합리적인 가격의 데일리 와인,http://www.wine.co.kr/wine/509
141,Beringer Zinfandel ,http://www.wine.co.kr/upload/products/wineList/america/BeringerZinfandel.png,10.0%,750ml,Red,Still,Dry,기타,"미국, 캘리포니아","레드베리, 멜론, 달콤한 딸기향","꽃향과 과일향이 풍부한 입안을 상큼하게 해주며 소비뇽블랑과 과일향과 샤도네의 바닐라,토스티향의 부드러움을 느낄 수 있다.",Beringer Vineyards,루비색,"익힌 붉은 육류, 파스타, 한국음식 외",PGA 공식 와인으로 선정된 Beringer 브랜드에서 생산하는 합리적인 가격의 데일리 와인,http://www.wine.co.kr/wine/508
142,Beringer California Cabernet Sauvignon ,http://www.wine.co.kr/upload/products/wineList/america/BeringerCaliforniaCabernetSauvignon.png,13.5%,750ml,Red,Still,Dry,카버네 소비뇽,"미국, 캘리포니아","자두 및 체리, 레드 커런트 같은 붉은과일의 아로마","풍부한 향을 가진 와인으로 드라이 하지만 잘잡힌 텍스쳐와 라운드한 탄닌을 표현하고 있으며 신선한 자두, 체리와 같은 과일향을 풍부하게 느낄 수 있다.",Beringer Vineyards,루비색,"익힌 붉은 육류, 파스타, 한국음식 외",PGA 공식 와인으로 선정된 Beringer 브랜드에서 생산하는 합리적인 가격의 데일리 와인으로 초보자에게 적합한 와인,http://www.wine.co.kr/wine/510
143,Beringer California Chardonnay ,http://www.wine.co.kr/upload/products/wineList/america/BeringerCaliforniaChardonnay.png,13.5%,750ml,White,Still,Dry,샤도네이,"미국, 캘리포니아","레몬과 라임, 트로피칼 과일향",중간 정도의 바디를 가진 와인으로 오크숙성을 하지 않아(Unoaked) 달콤한 과일 맛으로 시작해서 깔끔하게 마무리된다. 신선하고 활기찬 캐릭터의 와인으로 굳이 음식과 함께가 아니라도 와인 자체만 즐겨도 훌륭하다.,Beringer Vineyards,옅은 밀짚색,"샐러드, 과일, 치즈, 파스타, 해산물",PGA 공식 와인으로 선정된 Beringer 브랜드에서 생산하는 합리적인 가격의 데일리 와인으로 초보자에게 적합한 와인,http://www.wine.co.kr/wine/511
144,Beringer Founders Estate Cabernet Sauvignon ,http://www.wine.co.kr/upload/products/wineList/america/BeringerFoundersEstateCabernetSauvignon.png,13.89%,750ml,Red,Still,Dry,카버네 소비뇽,"미국, 캘리포니아","블랙 카시스, 바닐라, 약간의 향료","파운더스 에스테이트는 오픈 후 바로, 그리고 다양한 음식과 풍부하게 즐길 수 있도록 각 품종이 가진 고유의 캐릭터를 극대화 시킨 베린저의 대표 아이템이다. 구조감있는 탄닌과 오래 지속되는 피니쉬가 캘리포니아 까버네 소비뇽의 진수를 보여주며 오픈과 동시에 탁월한 와인을 선택했다는 사실을 인정할 수 밖에 없는 향과 맛을 가지고 있다.",Beringer Vineyards,선명한 루비색,"오리고기, 바비큐, 돼지고기 립",PGA 공식 와인으로 선정된 Beringer에서 생산하는 프리미엄 와인으로 PGA공식 로고가 부착,http://www.wine.co.kr/wine/517
145,Beringer Founders Estate Merlot ,http://www.wine.co.kr/upload/products/wineList/america/BeringerFoundersEstateMerlot.png,13.89%,750ml,Red,Still,Dry,"멜롯, 쉬라즈, 기타","미국, 캘리포니아","배, 보이즌베리, 블랙베리, 블루베리","파운더스 에스테이트는 오픈 후 바로, 그리고 다양한 음식과 풍부하게 즐길 수 있도록 각 품종이 가진 고유의 캐릭터를 극대화 시킨 베린저의 대표 아이템이다. 모든 발란스가 잘 이루어 져있으며 이 와인의 특징이라고 할 수 있을만큼 부드럽게 느껴지는 탄닌은 단순한 과일부터 육류 스테이크까지 모든 음식과 어울릴 수 있게 만들어 준다.",Beringer Vineyards,선명한 루비색,"샐러드, 그릴드 치킨, 스테이크, 바베큐",PGA 공식 와인으로 선정된 Beringer에서 생산하는 프리미엄 와인으로 PGA공식 로고가 부착,http://www.wine.co.kr/wine/518
146,Beringer Founders Estate Chardonnay ,http://www.wine.co.kr/upload/products/wineList/america/BeringerFoundersEstateChardonnay.png,13.89%,750ml,White,Still,Dry,샤도네이,"미국, 캘리포니아","배, 사과, 열대과일, 약간의 시트러스 향","파운더스 에스테이트는 오픈 후 바로, 그리고 다양한 음식과 풍부하게 즐길 수 있도록 각 품종이 가진 고유의 캐릭터를 극대화 시킨 베린저의 대표 아이템이다.베린저 파운더스 에스테이트 샤도네는 배와 사과향, 숙성된 트로피칼 후르츠의 향이 완벽하게 조화되어 입안을 가득 채우며 오랫동안 지속되는 피니쉬는 음식과 함께 음용했을 때 더욱 더 빛을 발한다.",Beringer Vineyards,옅은 밀짚색,"치킨, 구운 생선, 샐러드, 리조또",PGA 공식 와인으로 선정된 Beringer에서 생산하는 프리미엄 와인으로 PGA공식 로고가 부착,http://www.wine.co.kr/wine/516
147,Beringer Founders Estate Sauvignon Blanc ,http://www.wine.co.kr/upload/products/wineList/america/BeringerFoundersEstateSauvignonBlanc.png,13.5%,750ml,White,Still,Dry,쇼비뇽 블랑,"미국, 캘리포니아","자몽, 감귤과 같은 신선한 과일향, 무화과향","파운더스 에스테이트는 오픈 후 바로, 그리고 다양한 음식과 풍부하게 즐길 수 있도록 각 품종이 가진 고유의 캐릭터를 극대화 시킨 베린저의 대표 아이템이다. 베린저 파운더스 에스테이트 소비뇽 블랑은 신선한 자몽향과 숙성된 감귤향, 무화과의 향이 어우러져 마시는 순간 즐거움을 느낄 수 있는 와인으로 잔디풀향이 살짝 나서 깨끗한 피니쉬를 마무리 해주고 신선한 산도와 훌륭한 발란스를 이루어 해산물 요리와 완벽하게 매치된다.",Beringer Vineyards,옅은 밀짚색,"샐러드, 과일, 치즈, 파스타, 해산물",PGA 공식 와인으로 선정된 Beringer에서 생산하는 프리미엄 와인으로 PGA공식 로고가 부착,http://www.wine.co.kr/wine/515
148,Beringer Founders Estate Pinot Noir ,http://www.wine.co.kr/upload/products/wineList/america/BeringerFoundersEstatePinotNoir.png,13.89%,750ml,Red,Still,Dry,피노누아,"미국, 캘리포니아","숙성된 건포도, 삼나무, 향신료보이즌베리, 블랙베리, 블루베리","파운더스 에스테이트는 오픈 후 바로, 그리고 다양한 음식과 풍부하게 즐길 수 있도록 각 품종이 가진 고유의 캐릭터를 극대화 시킨 베린저의 대표 아이템이다. 파운더스 에스테이트 피노누아는 다양한 과일의 아로마를 느낄 수 있는 와인으로 오크 숙성을 통한 스모키한 향과 발란스를 이루어 세련된 피노누아의 대표적인 예를 보여주는 와인이다.",Beringer Vineyards,밝은 루비,"리조또, 토마토 소스 파스타, 훈제 연어",PGA 공식 와인으로 선정된 Beringer에서 생산하는 프리미엄 와인으로 PGA공식 로고가 부착,http://www.wine.co.kr/wine/519
149,Beringer Private Reserve Chardonnay ,http://www.wine.co.kr/upload/products/wineList/america/BeringerPrivateReserveChardonnay.png,14.3%,750ml,White,Still,Dry,샤도네이,"미국, 나파밸리","헤이즐넛, 그릴드 파인애플, 감귤향",베린저 프라이빗 리저브 샤도네는 매 빈티지마다 나파밸리 최상의 떼루아의 특성을 담아내는 전형적인 와인으로 싱글 빈야드에서 재배된 포도로 만들어지며 1978년 출시된 첫 빈티지부터 현재까지 샤도네 품종이 표현할 수 있는 풍부하고 다양한 특징을 가장 잘 보여주고 있는 와인이라고 할 수 있다. 헤이즐럿과 약간 익힌 파인애플 아로마와 함께 신선한 풀숲에 있는 것과 같이 신선한 맛을 느낄 수 있으며 뒤이어지는 열대 과일과 감귤의 향으로 인해 풍부하고도 엘레강트한 피니쉬를 즐길 수 있다.,Beringer Vineyards,밀짚색,"그릴드 쉬림프, 샐러드, 치즈, 올리브 파스타, 신선한 해산물",Wine Spectator 92점 (2010 vintage) / Robert Parker Point 93점 (2009 vintage),http://www.wine.co.kr/wine/525
